node_id,latitude,longitude,district,street_count,betweenness,source
osm_651985492_31.3102_30.0614,31.310222,30.06142,Abu Qir,,,overpass_live
osm_172917038_31.3103_30.061,31.310295,30.061033,Abu Qir,,,overpass_live
osm_652032078_31.3105_30.0698,31.310473,30.069781,Abu Qir,,,overpass_live
osm_221995551_31.3109_30.0672,31.310855,30.067219,Abu Qir,,,overpass_live
osm_221995551_31.3109_30.0669,31.310934,30.06689,Abu Qir,,,overpass_live
osm_221995548_31.311_30.0639,31.310989,30.063893,Abu Qir,,,overpass_live
osm_652363115_31.311_30.0668,31.311035,30.066813,Abu Qir,,,overpass_live
osm_651985491_31.3112_30.0608,31.311157,30.060768,Abu Qir,,,overpass_live
osm_172917034_31.3112_30.0625,31.311174,30.062489,Abu Qir,,,overpass_live
osm_172917037_31.3112_30.0622,31.311233,30.062168,Abu Qir,,,overpass_live
osm_651985492_31.3113_30.0617,31.311317,30.061713,Abu Qir,,,overpass_live
osm_221995554_31.3114_30.0666,31.311355,30.06657,Abu Qir,,,overpass_live
osm_221995550_31.3114_30.0648,31.311449,30.064816,Abu Qir,,,overpass_live
osm_651985491_31.3115_30.0608,31.311476,30.060846,Abu Qir,,,overpass_live
osm_221995550_31.3115_30.0649,31.311495,30.064908,Abu Qir,,,overpass_live
osm_652363084_31.3115_30.0629,31.311521,30.062935,Abu Qir,,,overpass_live
osm_653086237_31.3115_30.0692,31.311541,30.069215,Abu Qir,,,overpass_live
osm_172917034_31.3116_30.0601,31.31161,30.060114,Abu Qir,,,overpass_live
osm_172917032_31.3117_30.0623,31.311677,30.062305,Abu Qir,,,overpass_live
osm_221995554_31.3117_30.0672,31.311725,30.067222,Abu Qir,,,overpass_live
osm_172917036_31.3118_30.0622,31.311765,30.062217,Abu Qir,,,overpass_live
osm_652363084_31.3118_30.063,31.311765,30.063039,Abu Qir,,,overpass_live
osm_221995549_31.3118_30.0664,31.311789,30.066418,Abu Qir,,,overpass_live
osm_221995536_31.3118_30.0665,31.311827,30.066481,Abu Qir,,,overpass_live
osm_221995552_31.3119_30.0665,31.311866,30.066546,Abu Qir,,,overpass_live
osm_651985490_31.3119_30.0616,31.311921,30.061563,Abu Qir,,,overpass_live
osm_172917038_31.3119_30.0615,31.311937,30.0615,Abu Qir,,,overpass_live
osm_221995537_31.312_30.0685,31.312003,30.0685,Abu Qir,,,overpass_live
osm_651985493_31.3121_30.0611,31.312053,30.06106,Abu Qir,,,overpass_live
osm_221995541_31.3121_30.066,31.312056,30.066036,Abu Qir,,,overpass_live
osm_221995549_31.3121_30.0662,31.312121,30.066162,Abu Qir,,,overpass_live
osm_652363115_31.3121_30.0687,31.312125,30.068714,Abu Qir,,,overpass_live
osm_221995536_31.3122_30.0662,31.312157,30.06623,Abu Qir,,,overpass_live
osm_221995552_31.3122_30.0663,31.312192,30.066299,Abu Qir,,,overpass_live
osm_651985490_31.3122_30.0617,31.312238,30.061661,Abu Qir,,,overpass_live
osm_172917032_31.3123_30.0603,31.312251,30.060293,Abu Qir,,,overpass_live
osm_652769060_31.3123_30.0639,31.312288,30.063871,Abu Qir,,,overpass_live
osm_652363099_31.3123_30.0663,31.312293,30.066281,Abu Qir,,,overpass_live
osm_652379514_31.3124_30.0664,31.312385,30.066414,Abu Qir,,,overpass_live
osm_651985493_31.3124_30.0612,31.312412,30.061186,Abu Qir,,,overpass_live
osm_172917671_31.3125_30.0644,31.31251,30.064435,Abu Qir,,,overpass_live
osm_652769060_31.3126_30.0638,31.312629,30.063827,Abu Qir,,,overpass_live
osm_745303366_31.3127_30.0626,31.312724,30.062597,Abu Qir,,,overpass_live
osm_652769062_31.3128_30.0639,31.31281,30.063905,Abu Qir,,,overpass_live
osm_221995537_31.313_30.0678,31.313009,30.067837,Abu Qir,,,overpass_live
osm_652363093_31.3132_30.0653,31.313214,30.065315,Abu Qir,,,overpass_live
osm_652769054_31.3133_30.0628,31.313274,30.062816,Abu Qir,,,overpass_live
osm_652379514_31.3133_30.068,31.313315,30.068047,Abu Qir,,,overpass_live
osm_652769054_31.3134_30.0624,31.313356,30.062413,Abu Qir,,,overpass_live
osm_651985488_31.3135_30.0614,31.313524,30.061397,Abu Qir,,,overpass_live
osm_653099322_31.3135_30.0703,31.313524,30.070279,Abu Qir,,,overpass_live
osm_651985488_31.3136_30.0617,31.313591,30.061705,Abu Qir,,,overpass_live
osm_172917036_31.3138_30.063,31.313783,30.063025,Abu Qir,,,overpass_live
osm_651985497_31.3139_30.0625,31.313884,30.062493,Abu Qir,,,overpass_live
osm_652363093_31.3139_30.0659,31.31389,30.065936,Abu Qir,,,overpass_live
osm_691682572_31.3142_30.0608,31.3142,30.060838,Abu Qir,,,overpass_live
osm_651985497_31.3144_30.0627,31.314383,30.062724,Abu Qir,,,overpass_live
osm_653088988_31.3145_30.0659,31.314453,30.065898,Abu Qir,,,overpass_live
osm_653088988_31.315_30.067,31.314959,30.067016,Abu Qir,,,overpass_live
osm_651985494_31.3151_30.0617,31.315058,30.061655,Abu Qir,,,overpass_live
