name,latitude,longitude
Brand,31.199941,29.902402
,31.198324,29.898085
شهد درويش ٢,31.198538,29.89745
,31.198507,29.898122
,31.198928,29.898618
عالم الرياضه,31.200032,29.902168
Amal Wool,31.198524,29.901978
El Sabrouty,31.198301,29.900244
,31.199723,29.899141
Baggi,31.199252,29.902197
ابو عوف,31.199069,29.899051
Mody More,31.198261,29.89171
Tigter,31.198071,29.891584
Sharm Fashion,31.198099,29.8915
,31.204442,29.907571
,31.201741,29.901853
Africano,31.199307,29.898581
Town Team,31.199427,29.902047
AMS,31.199455,29.902028
كايرو,31.199564,29.901916
Danger Gucci,31.199372,29.902115
Smart,31.199956,29.901768
AGA,31.199481,29.902
Hegab,31.199508,29.901974
Laccoste,31.199484,29.898437
Embratora,31.197859,29.895778
,31.199279,29.893073
,31.192947,29.899354
Queen,31.192014,29.908528
Capito,31.197872,29.895655
,31.199145,29.898215
,31.199126,29.898187
La Chica,31.200165,29.900166
Pryzm,31.205985,29.966069
Believe,31.196555,29.896978
ابو عميرة,31.197951,29.894278
,31.197186,29.894849
,31.196979,29.895521
DEMO store,31.225121,29.936747
ليجند,31.205828,29.966764
,,
Total Records,=COUNTA(A2:A249),
Avg Latitude,=AVERAGE(B2:B249),
Scraped At,2026-05-28,
