name,latitude,longitude
Amazing Savory Crepes,31.199405,29.897479
راقودة,31.23066,29.947979
ألبان سويسرا,31.214147,29.922386
Bazooka,31.272814,30.000262
McDonald's,31.264648,29.996904
5 Roosters,31.267785,29.995585
Sento Bene,31.198441,29.905001
,31.19856,29.909032
,31.209676,29.879298
,31.210126,29.879502
Usama's Fishery,31.201222,29.88488
The Shami House Syrian food,31.205088,29.906358
Souvlaki,31.23033,29.94825
Abdo Farag Seafood,31.20379,29.875206
McDonald's,31.265475,29.987461
Karamel Sham,31.205744,29.90956
زهو,31.19808,29.903881
,31.19836,29.899129
,31.199312,29.89722
Juice Corner,31.199801,29.898509
Papadola,31.200332,29.899715
,31.198182,29.900951
بهيج,31.201836,29.901945
النصر,31.198488,29.894295
مصطفى جاد,31.198442,29.892732
رغيف كبده,31.19805,29.891652
,31.194481,29.89173
كشرى عزوز,31.193902,29.890476
كبدة الحرش,31.202176,29.902544
ماكدونالدز,31.209151,29.917308
الراية الدمشقية,31.209118,29.913329
Momo,31.209919,29.914752
Patty & Puffy,31.208707,29.924512
ماكدونالدز,31.20552,29.905055
تبارك فارم,31.209222,29.923717
كبدة عم أمين,31.199494,29.897915
Shawerma Elreem,31.202686,29.902618
Diamond,31.203875,29.90446
Buffalo Burger,31.227147,29.94196
البركة,31.220349,29.931267
Pizza Roma,31.220369,29.931252
Runway,31.218192,29.926678
5 Roosters,31.217195,29.925289
Murano,31.212122,29.915507
رويش,31.216411,29.923941
,31.199299,29.891281
Baudrot,31.197868,29.896575
,31.20342,29.883692
,31.199359,29.893109
كشري أنا المعلم,31.205647,29.87858
الجزار,31.193071,29.899144
,31.191746,29.905161
ماكدونالدز,31.198489,29.907972
Romance Banquet Hall,31.205262,29.904821
دانكن دونتس,31.20596,29.905844
كرسبي كريم,31.203299,29.902698
Beef Shawerma,31.203366,29.902789
Pick & Cut,31.207203,29.907799
علي الرايق سوري,31.205772,29.907875
Shawarma,31.200432,29.901131
Falafel,31.2002,29.901218
Maestro Burger,31.222906,29.933565
Riviera,31.213318,29.918785
Shawarma,31.203141,29.902563
ماكدونالدز,31.233534,29.94845
Pizza Hut,31.240591,29.958012
شارع الكشري,31.206092,29.908315
قرية ماليزيا,31.197343,29.898554
Koshary Masrawy,31.206452,29.883176
مسمط الفاروق ( حمو فاروق ),31.180264,29.894522
اشرف الماني مشويات,31.23106,29.946879
مطعم الكني فروق,31.180917,29.897536
سى يو,31.22936,29.942038
Maria,31.19657,29.898171
النادى البحرى اليونانى,31.212184,29.8837
كرم الشام,31.213849,29.946369
مطعم صقر العرب,31.007892,29.736535
Cilantro,31.21586,29.947312
ماكدونالدز,31.222895,29.933661
Luna Park,31.218841,29.926662
ماكدونالدز,31.176318,29.916552
,31.20755,29.964458
الحنين,31.198976,29.897561
نادي الجالية,31.205655,29.910395
Turn Off,31.203817,29.94686
,,
Total Records,=COUNTA(A2:A268),
Avg Latitude,=AVERAGE(B2:B268),
Scraped At,2026-05-15,
