Alexandria Traffic Edges (Roads) — SmartCityAnalyzer,,,,,,
from_node,to_node,name,length_m,speed_kph,road_type,source
31.1898_30.0648,31.1909_30.0666,الطريق الساحلى الدولى,202.6,100,Motorway,overpass_live
31.191_30.0665,31.1898_30.0647,الطريق الساحلى الدولى,203.5,100,Motorway,overpass_live
31.1635_29.9271,31.1709_29.9181,الطريق الساحلى الدولى,1155.7,100,Motorway,overpass_live
31.1541_29.8813,31.1717_29.9072,الطريق الساحلى الدولى,3065.3,100,Motorway,overpass_live
31.2233_30.1204,31.215_30.1085,الطريق الساحلى الدولى,1405.3,100,Motorway,overpass_live
31.1898_30.0647,31.1895_30.0642,الطريق الساحلى الدولى,54.1,100,Motorway,overpass_live
31.1687_29.8978,31.1502_29.8746,الطريق الساحلى الدولى,2922.1,100,Motorway,overpass_live
31.1606_29.8895,31.1695_29.9015,الطريق الساحلى الدولى,1478.4,100,Motorway,overpass_live
31.1709_29.9181,31.1687_29.8978,الطريق الساحلى الدولى,2030.3,100,Motorway,overpass_live
31.1223_29.8491,31.122_29.8459,الطريق الساحلى الدولى,286.6,110,Motorway,overpass_live
31.1217_29.8454,31.1221_29.8491,الطريق الساحلى الدولى,328.5,110,Motorway,overpass_live
31.1168_29.8315,31.1217_29.8454,الطريق الساحلى الدولى,1423.7,110,Motorway,overpass_live
31.122_29.8459,31.1173_29.8313,الطريق الساحلى الدولى,1457.7,110,Motorway,overpass_live
31.155_29.8814,31.1541_29.8802,الطريق الساحلى الدولى,145.7,110,Motorway,overpass_live
31.1344_29.8691,31.1538_29.8805,الطريق الساحلى الدولى,2416.9,110,Motorway,overpass_live
31.1541_29.8802,31.1346_29.8688,الطريق الساحلى الدولى,2425.9,110,Motorway,overpass_live
31.1221_29.8491,31.1232_29.8577,الطريق الساحلى الدولى,777.6,110,Motorway,overpass_live
31.1234_29.8576,31.1223_29.8491,الطريق الساحلى الدولى,771.5,110,Motorway,overpass_live
31.1133_29.8279,31.1121_29.827,الطريق الساحلى الدولى,151.2,100,Motorway,overpass_live
31.1175_29.8312,31.1133_29.8279,الطريق الساحلى الدولى,551.3,100,Motorway,overpass_live
31.1232_29.8577,31.1344_29.8691,الطريق الساحلى الدولى,1671,110,Motorway,overpass_live
31.1346_29.8688,31.1234_29.8576,الطريق الساحلى الدولى,1661.1,110,Motorway,overpass_live
31.1732_29.9133,31.17_29.9015,الطريق الساحلى الدولى,1143.7,100,Motorway,overpass_live
31.17_29.9015,31.155_29.8814,الطريق الساحلى الدولى,2458.2,100,Motorway,overpass_live
31.1627_29.9279,31.1732_29.9133,الطريق الساحلى الدولى,1762.9,100,Motorway,overpass_live
31.1717_29.9072,31.1728_29.9128,الطريق الساحلى الدولى,529.5,100,Motorway,overpass_live
31.1501_29.8747,31.1541_29.8813,الطريق الساحلى الدولى,747.5,100,Motorway,overpass_live
31.1695_29.9015,31.1724_29.9088,الطريق الساحلى الدولى,727,100,Motorway,overpass_live
31.1502_29.8746,31.1499_29.8743,الطريق الساحلى الدولى,40.5,100,Motorway,overpass_live
31.1498_29.8743,31.1501_29.8747,الطريق الساحلى الدولى,47.2,100,Motorway,overpass_live
31.1415_29.8629,31.1386_29.8588,الطريق الساحلى الدولى,484.1,100,Motorway,overpass_live
31.0605_29.7558,31.0628_29.7631,الطريق الساحلى الدولى الجديد,691.9,100,Motorway,overpass_live
31.063_29.763,31.0609_29.7557,الطريق الساحلى الدولى الجديد,693.5,100,Motorway,overpass_live
31.0053_29.644,31.0026_29.6375,الطريق الساحلى الدولى الجديد,661.4,110,Motorway,overpass_live
