Alexandria Schools — SmartCityAnalyzer,,,,,,
name,type,edu_level,latitude,longitude,operator,capacity
,School,,31.173558,29.975394,,
,School,,31.148802,29.956478,,
,School,,31.147518,30.000301,,
,School,,31.202317,29.979274,,
,School,,31.129932,29.947287,,
,School,,31.127908,29.961028,,
,School,,31.175819,29.991856,,
,School,,31.13319,30.032602,,
,School,,31.145472,29.988416,,
,School,,31.17424,30.052611,,
,School,,31.096946,29.987889,,
,School,,31.085622,29.9584,,
,School,,31.060249,30.01986,,
,School,,30.956805,30.023402,,
,School,,30.977642,29.971966,,
,School,,31.051355,30.088215,,
,School,,30.99839,30.082797,,
,School,,31.038467,30.102676,,
,School,,31.039826,30.085035,,
,School,,30.921599,30.157736,,
,School,,30.909895,30.17235,,
,School,,30.911239,30.178898,,
مدرسة معالي السيوف الخاصة,School,,31.239089,29.993242,,
Al Shaymaa School,School,,31.270917,30.010461,,
Yasamine School,School,,31.270832,30.012791,Private,
Tarq Ebn Zyad Sec. School,School,,31.26814,30.016695,Egypian ministry of Education and research,
La escuela frencia Girard,School,,31.233644,29.952817,,
مدرسة هدى شعراوي الإعدادية,School,,31.130778,30.129391,,
مدرسة عزيز المصري الإعدادية,School,,31.131918,30.128808,,
مدرسة بنات كفر الدوار الابتدائية,School,,31.130639,30.129253,,
مدرسة الكريون,School,,31.141134,30.19042,,
Alexandria National University,School,,31.217617,29.976416,,
مدرسة منارة الصحراء الابتدائية المشتركة,School,,31.071396,29.845641,,
KGC,School,,31.241145,29.964388,,
,,,,,,
Total Records,=COUNTA(A3:A152),,,,,
Scraped At,2026-05-15,,,,,
Source,OpenStreetMap / Overpass API,,,,,
