name,latitude,longitude
مركز صحة الأسرة بسموحة,31.207039,29.938211
د. سامر فرج ظريف - طبيب وجراح الفم والأسنان,31.237887,29.98386
صيدليات د. أسامة الطيبي,31.198966,29.898954
صيدلية سعد زغلول,31.199621,29.899341
صيدلية د. دعاء يس,31.243887,30.005696
صيدلية أبو زيادة,31.240408,29.965758
صيدلية عبد الله الجديدة,31.255339,29.979176
صيدلية الغالي,31.256101,29.980095
صيدلية د. سلوى سليمان,31.254987,29.982138
صيدلية عبد العال,31.238647,30.003678
مستشفى الإقبال,31.251513,29.975378
صيدلية,31.251188,29.97536
صيدلية د. أحمد حلمي الشعراوي,31.2455,30.004477
مستشفى زمزم,31.195217,29.912587
د. محمد شفيق شاهين,31.219789,29.932696
وحدة صحة أسرة دنا الجديدة (الوطنية) - منطقة شرق الطبية,31.229702,29.991486
صيدلية د. ريهام عبد المحسن,31.242646,30.003416
مستشفى سهلا الجديدة,31.191064,29.908555
صيدلية د. عماد حمزة,31.243437,29.99942
صيدلية الأسرة,31.2377,29.982342
صيدلية د. سمير شوقي,31.23926,29.983354
صيدلية الخشاب,31.238282,29.986628
دكتور ممدوح حسين لطب الاطفال,31.207261,29.953145
Jamalek Skin Center Smouha,31.215415,29.944767
مستشفي اسكندرية الدولي,31.215837,29.941974
,31.20439,29.907767
,31.20422,29.90771
,31.204968,29.908691
صيدلية د. محمد جمال علي,31.241355,30.002388
د/ خالد عبد الحيم,31.204376,29.908572
,31.203717,29.907933
,31.203846,29.907774
النصر الشاملة,31.169834,29.870882
صيدلية صابرين,31.119046,29.789272
صيدلية عفيفي,31.263213,29.994569
صيدلية عفيفي,31.263233,29.99457
صيدلية ماهر الشرقاوى,31.117661,29.787124
دكتوره صباح غريب حامد الباروكى للنساء و التوليد,31.229451,29.952758
مركز الثقافة العمالية بكفر الدوار,31.13885,30.122335
عياده الدكتور هشام العشماوي,31.23134,29.956184
المستشفى الألماني  مركز القلب الألماني,31.237041,29.957675
صيدلية اميرة خاطر,31.232523,29.949247
عياده الدكتور اميل عطالله,31.262761,30.00742
المسشتفى التخصصي لامراض الجهاز الهضمي والكبد,31.239245,29.96397
عنان لطب الاسنان,31.170145,29.876812
معمل المبرة جليم لتحاليل,31.237787,29.962077
مبرة العصافرة للتحاليل جليم,31.238548,29.963093
عياده الدكتور اميل عطالله,31.264005,30.006092
مستشفى رأس التين العام,31.209488,29.879061
,31.188986,29.888576
خليل,31.200229,29.898621
د. هدى حامد,31.200953,29.90788
Alsalama Hospital,31.201821,29.910186
,31.193524,29.891939
البطالسة,31.201237,29.909389
,31.204444,29.911278
صيدلية السلطان حسين,31.202108,29.911482
,31.194353,29.887249
,31.19031,29.888269
,31.199004,29.895543
اسطنبول,31.199752,29.900762
,31.199665,29.896372
,31.200028,29.900078
خليل,31.201574,29.90075
محفوظ,31.199736,29.902513
,31.194874,29.897327
,31.199115,29.897074
خليل,31.19997,29.897417
,31.262141,29.985476
,31.261346,29.984016
Orphanides Pharmacy,31.198453,29.901266
سيف,31.198052,29.900184
Department for Internal Medicine,31.202598,29.905953
د/ غلاب,31.199228,29.898185
,31.202219,29.903164
,31.21013,29.91424
,31.210089,29.912776
,31.197111,29.897327
,31.196656,29.899087
د. خالد,31.200087,29.90752
دكتور أحمد شلبى,31.203131,29.909924
,31.204196,29.909677
,31.203391,29.909789
صيدلية بروناى,31.198204,29.904085
سان سابا,31.19755,29.903087
مستشفي الإمام,31.274909,30.006218
أكسفورد,31.200941,29.902279
رمضان,31.201244,29.902117
العزبى,31.199308,29.902136
المدينة,31.201515,29.901659
كير,31.20948,29.914243
فؤاد أحمد,31.20497,29.904512
,31.209625,29.922517
,31.213817,29.919634
,31.217115,29.925161
,31.197882,29.895437
,31.190137,29.893552
,31.205615,29.878554
أيوب,31.200856,29.887094
صيدلية محطة مصر,31.192023,29.905916
,31.210314,29.915389
,31.194877,29.914065
مشرف,31.192272,29.909868
Main University Hospital,31.200857,29.90547
Dr. Alia Bayoumy,31.203604,29.911768
Raoul Iskandar,31.199063,29.89851
مستشفى إليت,31.171745,29.943345
صيدليه دكتور شريف رفيق,31.217975,29.930647
Saudi German Hospital SGH,31.059379,29.718279
مستشفى الشاطبي الجامعي,31.209155,29.911341
مستشفي الرمد العام,31.197672,29.916124
مستوصف الغفران,31.125305,29.781825
المستشفى البحري العام,31.201362,29.873234
المستشفى الأميري الجديدة,31.207135,29.946457
مستشفى مصطفى كامل العسكري,31.225763,29.940745
,31.174316,29.930017
,31.008454,29.735274
مستشفى القبارى,31.17068,29.881112
مستشفى الثغر التخصصي,31.246426,29.980046
مستشفي جمال عبد الناصر,31.204293,29.926267
مستشفي أبو المطامير المركزى,30.915873,30.176366
مستشفي أبو قير المركزي,31.313438,30.067227
أبو الطيب,31.19671,29.896708
معمل الامين للتحاليل الطبية,31.222373,29.939241
صيدليات دوائي,31.220683,29.933943
د. وسام الجندي - للتحاليل وأمراض الدم,31.215798,29.925651
صيدلية الدلتا,31.218972,29.931877
صيدلية فارحي,31.21867,29.932772
صيدلية د. أشرف نوار,31.220208,29.935541
مركز الكلى والمسالك البولية - مستشفى اليسر,31.220938,29.933842
,31.225997,29.93856
مستشفى الشفاء سيدي جابر,31.223627,29.939886
,31.310336,30.066878
مستشفي المعمورة,31.270193,30.025379
,,
Total Records,=COUNTA(A2:A267),
Avg Latitude,=AVERAGE(B2:B267),
Scraped At,2026-05-15,
