fact_id,prop_id,area_id,business_type_id,category,street_name,area_sqm,rent_monthly_egp,rent_per_sqm,competitors_500m,competitors_1km,affordability_score,suitability_score,recommended
60,6,13,5,Food & Beverage,Alexandria / Al Agamy,100,12000,120,0,0,0.77,9.09,True
61,6,13,6,Health & Fitness,Alexandria / Al Agamy,100,12000,120,0,0,0.77,9.09,True
62,6,13,7,Healthcare,Alexandria / Al Agamy,100,12000,120,1,1,0.77,8.79,True
63,6,13,8,Healthcare,Alexandria / Al Agamy,100,12000,120,1,1,0.77,8.79,True
64,6,13,9,Retail,Alexandria / Al Agamy,100,12000,120,0,0,0.77,9.09,True
65,6,13,10,Retail,Alexandria / Al Agamy,100,12000,120,0,0,0.77,9.09,True
66,6,13,11,Tourism & Hospitality,Alexandria / Al Agamy,100,12000,120,0,0,0.77,9.09,True
67,7,13,1,Financial Services,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
68,7,13,2,Food & Beverage,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
69,7,13,3,Food & Beverage,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
70,7,13,4,Food & Beverage,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
71,7,13,5,Food & Beverage,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
72,7,13,6,Health & Fitness,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
73,7,13,7,Healthcare,Alexandria / Al Agamy,50,2000,40,1,1,1.26,9.7,True
74,7,13,8,Healthcare,Alexandria / Al Agamy,50,2000,40,1,1,1.26,9.7,True
75,7,13,9,Retail,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
76,7,13,10,Retail,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
77,7,13,11,Tourism & Hospitality,Alexandria / Al Agamy,50,2000,40,0,0,1.26,10,True
78,8,20,1,Financial Services,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,0,1.11,10,True
79,8,20,2,Food & Beverage,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,3,1.11,10,True
80,8,20,3,Food & Beverage,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,3,1.11,10,True
81,8,20,4,Food & Beverage,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,3,1.11,10,True
82,8,20,5,Food & Beverage,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,3,1.11,10,True
83,8,20,6,Health & Fitness,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,0,1.11,10,True
84,8,20,7,Healthcare,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,6,11,1.11,7.2,True
85,8,20,8,Healthcare,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,6,11,1.11,7.2,True
86,8,20,9,Retail,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,1,1.11,10,True
87,8,20,10,Retail,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,1,1.11,10,True
88,8,20,11,Tourism & Hospitality,Alexandria / Al Moaaskar Al Romani St.,56,25000,446.43,0,0,1.11,10,True
89,9,20,1,Financial Services,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,0,0.79,9.15,True
90,9,20,2,Food & Beverage,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,3,0.79,9.15,True
91,9,20,3,Food & Beverage,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,3,0.79,9.15,True
92,9,20,4,Food & Beverage,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,3,0.79,9.15,True
93,9,20,5,Food & Beverage,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,3,0.79,9.15,True
94,9,20,6,Health & Fitness,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,0,0.79,9.15,True
95,9,20,7,Healthcare,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,6,11,0.79,6.35,True
96,9,20,8,Healthcare,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,6,11,0.79,6.35,True
97,9,20,9,Retail,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,1,0.79,9.15,True
98,9,20,10,Retail,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,1,0.79,9.15,True
99,9,20,11,Tourism & Hospitality,Alexandria / Al Moaaskar Al Romani St.,185,150000,810.81,0,0,0.79,9.15,True
100,10,16,1,Financial Services,Alexandria / El Azarita,100,50000,500,9,43,1.17,4.77,False
101,10,16,2,Food & Beverage,Alexandria / El Azarita,100,50000,500,30,132,1.17,4.15,False
102,10,16,3,Food & Beverage,Alexandria / El Azarita,100,50000,500,30,132,1.17,4.15,False
103,10,16,4,Food & Beverage,Alexandria / El Azarita,100,50000,500,30,132,1.17,4.15,False
104,10,16,5,Food & Beverage,Alexandria / El Azarita,100,50000,500,30,132,1.17,4.15,False
105,10,16,6,Health & Fitness,Alexandria / El Azarita,100,50000,500,0,2,1.17,10,True
106,10,16,7,Healthcare,Alexandria / El Azarita,100,50000,500,29,66,1.17,4.3,False
107,10,16,8,Healthcare,Alexandria / El Azarita,100,50000,500,29,66,1.17,4.3,False
108,10,16,9,Retail,Alexandria / El Azarita,100,50000,500,22,169,1.17,4.12,False
109,10,16,10,Retail,Alexandria / El Azarita,100,50000,500,22,169,1.17,4.12,False
110,10,16,11,Tourism & Hospitality,Alexandria / El Azarita,100,50000,500,0,19,1.17,8.05,True
111,11,43,1,Financial Services,Alexandria / El Gaish Road,70,45000,642.86,0,0,0.32,7.27,True
112,11,43,2,Food & Beverage,Alexandria / El Gaish Road,70,45000,642.86,0,0,0.32,7.27,True
113,11,43,3,Food & Beverage,Alexandria / El Gaish Road,70,45000,642.86,0,0,0.32,7.27,True
114,11,43,4,Food & Beverage,Alexandria / El Gaish Road,70,45000,642.86,0,0,0.32,7.27,True
115,11,43,5,Food & Beverage,Alexandria / El Gaish Road,70,45000,642.86,0,0,0.32,7.27,True
116,11,43,6,Health & Fitness,Alexandria / El Gaish Road,70,45000,642.86,0,0,0.32,7.27,True
117,11,43,7,Healthcare,Alexandria / El Gaish Road,70,45000,642.86,2,2,0.32,6.67,True
118,11,43,8,Healthcare,Alexandria / El Gaish Road,70,45000,642.86,2,2,0.32,6.67,True
119,11,43,9,Retail,Alexandria / El Gaish Road,70,45000,642.86,0,0,0.32,7.27,True
120,11,43,10,Retail,Alexandria / El Gaish Road,70,45000,642.86,0,0,0.32,7.27,True
121,11,43,11,Tourism & Hospitality,Alexandria / El Gaish Road,70,45000,642.86,0,0,0.32,7.27,True
122,12,43,1,Financial Services,Alexandria / El Gaish Road,85,13000,152.94,0,0,1.22,10,True
123,12,43,2,Food & Beverage,Alexandria / El Gaish Road,85,13000,152.94,0,0,1.22,10,True
124,12,43,3,Food & Beverage,Alexandria / El Gaish Road,85,13000,152.94,0,0,1.22,10,True
125,12,43,4,Food & Beverage,Alexandria / El Gaish Road,85,13000,152.94,0,0,1.22,10,True
126,12,43,5,Food & Beverage,Alexandria / El Gaish Road,85,13000,152.94,0,0,1.22,10,True
127,12,43,6,Health & Fitness,Alexandria / El Gaish Road,85,13000,152.94,0,0,1.22,10,True
128,12,43,7,Healthcare,Alexandria / El Gaish Road,85,13000,152.94,2,2,1.22,9.4,True
129,12,43,8,Healthcare,Alexandria / El Gaish Road,85,13000,152.94,2,2,1.22,9.4,True
130,12,43,9,Retail,Alexandria / El Gaish Road,85,13000,152.94,0,0,1.22,10,True
131,12,43,10,Retail,Alexandria / El Gaish Road,85,13000,152.94,0,0,1.22,10,True
132,12,43,11,Tourism & Hospitality,Alexandria / El Gaish Road,85,13000,152.94,0,0,1.22,10,True
133,13,43,1,Financial Services,Alexandria / El Gaish Road,125,120000,960,0,0,0,6,True
134,13,43,2,Food & Beverage,Alexandria / El Gaish Road,125,120000,960,0,0,0,6,True
135,13,43,3,Food & Beverage,Alexandria / El Gaish Road,125,120000,960,0,0,0,6,True
136,13,43,4,Food & Beverage,Alexandria / El Gaish Road,125,120000,960,0,0,0,6,True
137,13,43,5,Food & Beverage,Alexandria / El Gaish Road,125,120000,960,0,0,0,6,True
138,13,43,6,Health & Fitness,Alexandria / El Gaish Road,125,120000,960,0,0,0,6,True
139,13,43,7,Healthcare,Alexandria / El Gaish Road,125,120000,960,2,2,0,5.4,False
140,13,43,8,Healthcare,Alexandria / El Gaish Road,125,120000,960,2,2,0,5.4,False
141,13,43,9,Retail,Alexandria / El Gaish Road,125,120000,960,0,0,0,6,True
142,13,43,10,Retail,Alexandria / El Gaish Road,125,120000,960,0,0,0,6,True
143,13,43,11,Tourism & Hospitality,Alexandria / El Gaish Road,125,120000,960,0,0,0,6,True
144,14,43,1,Financial Services,Alexandria / El Gaish Road,115,25000,217.39,0,0,1.1,10,True
145,14,43,2,Food & Beverage,Alexandria / El Gaish Road,115,25000,217.39,0,0,1.1,10,True
146,14,43,3,Food & Beverage,Alexandria / El Gaish Road,115,25000,217.39,0,0,1.1,10,True
147,14,43,4,Food & Beverage,Alexandria / El Gaish Road,115,25000,217.39,0,0,1.1,10,True
148,14,43,5,Food & Beverage,Alexandria / El Gaish Road,115,25000,217.39,0,0,1.1,10,True
149,14,43,6,Health & Fitness,Alexandria / El Gaish Road,115,25000,217.39,0,0,1.1,10,True
150,14,43,7,Healthcare,Alexandria / El Gaish Road,115,25000,217.39,2,2,1.1,9.4,True
151,14,43,8,Healthcare,Alexandria / El Gaish Road,115,25000,217.39,2,2,1.1,9.4,True
152,14,43,9,Retail,Alexandria / El Gaish Road,115,25000,217.39,0,0,1.1,10,True
153,14,43,10,Retail,Alexandria / El Gaish Road,115,25000,217.39,0,0,1.1,10,True
154,14,43,11,Tourism & Hospitality,Alexandria / El Gaish Road,115,25000,217.39,0,0,1.1,10,True
155,15,43,1,Financial Services,Alexandria / El Gaish Road,160,80000,500,0,0,0.58,8.32,True
156,15,43,2,Food & Beverage,Alexandria / El Gaish Road,160,80000,500,0,0,0.58,8.32,True
157,15,43,3,Food & Beverage,Alexandria / El Gaish Road,160,80000,500,0,0,0.58,8.32,True
158,15,43,4,Food & Beverage,Alexandria / El Gaish Road,160,80000,500,0,0,0.58,8.32,True
159,15,43,5,Food & Beverage,Alexandria / El Gaish Road,160,80000,500,0,0,0.58,8.32,True
160,15,43,6,Health & Fitness,Alexandria / El Gaish Road,160,80000,500,0,0,0.58,8.32,True
161,15,43,7,Healthcare,Alexandria / El Gaish Road,160,80000,500,2,2,0.58,7.72,True
162,15,43,8,Healthcare,Alexandria / El Gaish Road,160,80000,500,2,2,0.58,7.72,True
163,15,43,9,Retail,Alexandria / El Gaish Road,160,80000,500,0,0,0.58,8.32,True
164,15,43,10,Retail,Alexandria / El Gaish Road,160,80000,500,0,0,0.58,8.32,True
