prop_id,area_id,street_name,area_sqm,rent_monthly_egp,rent_per_sqm
208,20,Alexandria / New El Hadra,150,15000,100
209,20,Alexandria / New El Hadra,150,12000,80
210,5,Alexandria / Riad St,310,210000,677.42
211,40,Alexandria / Roushdy Basha St.,60,25000,416.67
212,16,Alexandria / Saad Zaghloul St.,100,100000,1000
213,46,Alexandria / Salah Salem St.,183,45000,245.9
214,46,Alexandria / Salah Salem St.,194,80000,412.37
215,22,Alexandria / Shatee El Nakheel,450,35000,77.78
216,43,Alexandria / Sidi Bishr,70,40000,571.43
217,50,Alexandria / Victoria,60,26000,433.33
218,50,Alexandria / Victoria,50,20000,400
219,50,Alexandria / Victoria,55,25000,454.55
220,50,Alexandria / Victoria,100,25000,250
221,50,Alexandria / Victoria,60,25000,416.67
